FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-20 15:41:42

Total deployment events: 2669
Number of node-function combinations: 496

Event Type Summary:
  Deployment events: 6
  Replica events: 1804
  Network events: 859

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   3.2s | network    | registry → rpi3_22   | unknown                   | docker_pull (19.1 MB)
t=   3.3s | network    | registry → rockpi_16 | unknown                   | docker_pull (59.1 MB)
t=   3.4s | network    | registry → nano_17   | unknown                   | docker_pull (95.4 MB)
t=   3.5s | network    | nuc_2 → nano_17      | unknown                   | data_download (98.2 MB)
t=   3.6s | network    | registry → nano_0    | unknown                   | docker_pull (95.4 MB)
t=   3.7s | network    | registry → nx_12     | unknown                   | docker_pull (95.4 MB)
t=   3.8s | network    | nuc_2 → nano_0       | unknown                   | data_download (98.2 MB)
t=   3.9s | network    | nuc_2 → nx_12        | unknown                   | data_download (55.3 MB)
t=   4.0s | replica    | rockpi_25            | python-pi                 | deploy replica of python-pi
t=   4.0s | network    | nuc_2 → nx_12        | unknown                   | data_download (55.3 MB)
t=   4.1s | network    | nuc_2 → nx_12        | unknown                   | data_download (55.3 MB)
t=   4.2s | network    | nuc_2 → nx_12        | unknown                   | data_download (55.3 MB)
t=   4.3s | network    | registry → rpi3_23   | unknown                   | docker_pull (19.1 MB)
t=   4.4s | network    | registry → rockpi_23 | unknown                   | docker_pull (59.1 MB)
t=   4.5s | network    | registry → nano_1    | unknown                   | docker_pull (95.4 MB)
t=   4.6s | network    | nuc_2 → nano_1       | unknown                   | data_download (98.2 MB)
t=   4.7s | network    | registry → nano_2    | unknown                   | docker_pull (95.4 MB)
t=   4.8s | network    | registry → nx_10     | unknown                   | docker_pull (95.4 MB)
t=   4.9s | network    | nuc_2 → nx_10        | unknown                   | data_download (55.3 MB)
t=   5.0s | replica    | rpi3_21              | fio                       | deploy replica of fio
t=   5.0s | network    | nuc_2 → nano_2       | unknown                   | data_download (98.2 MB)
t=   5.1s | network    | nuc_2 → nx_10        | unknown                   | data_download (55.3 MB)
t=   5.2s | network    | nuc_2 → nx_10        | unknown                   | data_download (55.3 MB)
t=   5.3s | network    | nuc_2 → nx_10        | unknown                   | data_download (55.3 MB)
t=   5.4s | network    | registry → rpi3_27   | unknown                   | docker_pull (19.1 MB)
t=   5.5s | network    | registry → nx_0      | unknown                   | docker_pull (59.1 MB)
t=   5.6s | network    | registry → nano_12   | unknown                   | docker_pull (95.4 MB)
t=   5.7s | network    | registry → nx_13     | unknown                   | docker_pull (95.4 MB)
t=   5.8s | network    | nuc_2 → nano_12      | unknown                   | data_download (98.2 MB)
t=   5.9s | network    | nuc_2 → nx_13        | unknown                   | data_download (55.3 MB)
t=   6.0s | replica    | rpi3_21              | fio                       | startup replica of fio
t=   6.0s | network    | nuc_2 → nx_13        | unknown                   | data_download (55.3 MB)
t=   6.1s | network    | nuc_2 → nx_13        | unknown                   | data_download (55.3 MB)
t=   6.2s | network    | nuc_2 → nx_13        | unknown                   | data_download (55.3 MB)
t=   6.3s | network    | registry → coral_0   | unknown                   | docker_pull (59.1 MB)
t=   6.4s | network    | registry → nx_14     | unknown                   | docker_pull (95.4 MB)
t=   6.5s | network    | registry → nx_4      | unknown                   | docker_pull (95.4 MB)
t=   6.6s | network    | nuc_2 → nx_14        | unknown                   | data_download (98.2 MB)
t=   6.7s | network    | nuc_2 → nx_4         | unknown                   | data_download (55.3 MB)
t=   6.8s | network    | nuc_2 → nx_4         | unknown                   | data_download (55.3 MB)
t=   6.9s | network    | nuc_2 → nx_4         | unknown                   | data_download (55.3 MB)
t=   7.0s | replica    | rpi3_21              | fio                       | setup replica of fio
t=   7.0s | network    | nuc_2 → nx_4         | unknown                   | data_download (55.3 MB)
t=   7.1s | network    | registry → rpi3_3    | unknown                   | docker_pull (19.1 MB)
t=   7.2s | network    | registry → rpi3_28   | unknown                   | docker_pull (31.5 MB)
t=   7.3s | network    | registry → rpi3_29   | unknown                   | docker_pull (52.5 MB)
t=   7.4s | network    | nuc_2 → rpi3_28      | unknown                   | data_download (45.8 MB)
t=   7.5s | network    | registry → nx_7      | unknown                   | docker_pull (95.4 MB)
t=   7.6s | network    | nuc_2 → nx_7         | unknown                   | data_download (98.2 MB)
t=   7.7s | network    | registry → rockpi_4  | unknown                   | docker_pull (59.1 MB)
t=   7.8s | network    | registry → nano_7    | unknown                   | docker_pull (95.4 MB)
t=   7.9s | network    | nuc_2 → nano_7       | unknown                   | data_download (98.2 MB)
t=   8.0s | replica    | rpi3_21              | fio                       | finish replica of fio
t=   8.0s | network    | registry → rpi3_4    | unknown                   | docker_pull (19.1 MB)
t=   8.1s | network    | registry → nano_5    | unknown                   | docker_pull (95.4 MB)
t=   8.2s | network    | nuc_2 → nano_5       | unknown                   | data_download (98.2 MB)
t=   8.3s | network    | registry → rockpi_11 | unknown                   | docker_pull (59.1 MB)
t=   8.4s | network    | registry → nano_3    | unknown                   | docker_pull (95.4 MB)
t=   8.5s | network    | registry → nano_4    | unknown                   | docker_pull (95.4 MB)
t=   8.6s | network    | nuc_2 → nano_4       | unknown                   | data_download (55.3 MB)
t=   8.7s | network    | nuc_2 → nano_3       | unknown                   | data_download (98.2 MB)
t=   8.8s | network    | nuc_2 → nano_4       | unknown                   | data_download (55.3 MB)
t=   8.9s | network    | nuc_2 → nano_4       | unknown                   | data_download (55.3 MB)
t=   9.0s | replica    | rockpi_25            | python-pi                 | startup replica of python-pi
t=   9.0s | network    | nuc_2 → nano_4       | unknown                   | data_download (55.3 MB)
t=   9.1s | network    | registry → rpi3_5    | unknown                   | docker_pull (19.1 MB)
t=   9.2s | network    | registry → nano_8    | unknown                   | docker_pull (95.4 MB)
t=   9.3s | network    | nuc_2 → nano_8       | unknown                   | data_download (98.2 MB)
t=   9.4s | network    | registry → coral_1   | unknown                   | docker_pull (59.1 MB)
t=   9.5s | network    | registry → nx_5      | unknown                   | docker_pull (95.4 MB)
t=   9.6s | network    | nuc_2 → nx_5         | unknown                   | data_download (98.2 MB)
t=   9.7s | network    | registry → rpi3_0    | unknown                   | docker_pull (19.1 MB)
t=   9.8s | network    | registry → coral_2   | unknown                   | docker_pull (59.1 MB)
t=   9.9s | network    | registry → nx_6      | unknown                   | docker_pull (95.4 MB)
t=  10.0s | replica    | rockpi_25            | python-pi                 | setup replica of python-pi
t=  10.0s | network    | nuc_2 → nx_6         | unknown                   | data_download (98.2 MB)
t=  10.1s | network    | registry → coral_3   | unknown                   | docker_pull (38.1 MB)
t=  10.2s | network    | registry → rockpi_33 | unknown                   | docker_pull (59.1 MB)
t=  10.3s | network    | nuc_2 → coral_3      | unknown                   | data_download (45.8 MB)
t=  10.4s | network    | registry → nano_14   | unknown                   | docker_pull (95.4 MB)
t=  10.5s | network    | registry → nx_12     | unknown                   | docker_pull (182.2 MB)
t=  10.6s | network    | nuc_2 → nano_14      | unknown                   | data_download (98.2 MB)
t=  10.7s | network    | registry → rpi3_1    | unknown                   | docker_pull (19.1 MB)
t=  10.8s | network    | registry → rockpi_33 | unknown                   | docker_pull (38.1 MB)
t=  10.9s | network    | registry → rockpi_5  | unknown                   | docker_pull (59.1 MB)
t=  11.0s | replica    | rockpi_25            | python-pi                 | finish replica of python-pi
t=  11.0s | network    | nuc_2 → rockpi_33    | unknown                   | data_download (45.8 MB)
t=  11.1s | network    | registry → nx_1      | unknown                   | docker_pull (95.4 MB)
t=  11.2s | network    | nuc_2 → nx_1         | unknown                   | data_download (98.2 MB)
t=  11.3s | network    | registry → nano_16   | unknown                   | docker_pull (95.4 MB)
t=  11.4s | network    | nuc_2 → nano_16      | unknown                   | data_download (98.2 MB)
t=  11.5s | network    | registry → rpi3_2    | unknown                   | docker_pull (19.1 MB)
t=  11.6s | network    | registry → nx_2      | unknown                   | docker_pull (95.4 MB)
t=  11.7s | network    | registry → nx_3      | unknown                   | docker_pull (95.4 MB)
t=  11.8s | network    | nuc_2 → nx_2         | unknown                   | data_download (98.2 MB)
t=  11.9s | network    | nuc_2 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.0s | replica    | rockpi_30            | speech-inference          | startup replica of speech-inference
t=  12.0s | network    | nuc_2 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.1s | network    | nuc_2 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.2s | network    | nuc_2 → nx_3         | unknown                   | data_download (55.3 MB)
t=  12.3s | network    | registry → coral_3   | unknown                   | docker_pull (59.1 MB)
t=  12.4s | network    | registry → nx_11     | unknown                   | docker_pull (95.4 MB)
t=  12.5s | network    | nuc_2 → nx_11        | unknown                   | data_download (98.2 MB)
t=  12.6s | network    | registry → rpi3_15   | unknown                   | docker_pull (19.1 MB)
t=  12.7s | network    | registry → rockpi_24 | unknown                   | docker_pull (59.1 MB)
t=  12.8s | network    | registry → nano_13   | unknown                   | docker_pull (95.4 MB)
t=  12.9s | network    | nuc_2 → nano_13      | unknown                   | data_download (98.2 MB)
t=  13.0s | replica    | rockpi_30            | speech-inference          | setup replica of speech-inference
t=  13.0s | network    | registry → nx_9      | unknown                   | docker_pull (95.4 MB)
t=  13.1s | network    | nuc_2 → nx_9         | unknown                   | data_download (98.2 MB)
t=  13.2s | network    | registry → rpi3_16   | unknown                   | docker_pull (19.1 MB)
t=  13.3s | network    | registry → nx_10     | unknown                   | docker_pull (38.1 MB)
t=  13.4s | network    | nuc_2 → nx_10        | unknown                   | data_download (45.8 MB)
t=  13.5s | network    | registry → nano_9    | unknown                   | docker_pull (95.4 MB)
t=  13.6s | network    | registry → rockpi_21 | unknown                   | docker_pull (59.1 MB)
t=  13.7s | network    | nuc_2 → nano_9       | unknown                   | data_download (98.2 MB)
t=  13.8s | network    | registry → rockpi_21 | unknown                   | docker_pull (182.2 MB)
t=  13.9s | network    | registry → rockpi_27 | unknown                   | docker_pull (38.1 MB)
t=  14.0s | replica    | nx_0                 | resnet50-inference        | startup replica of resnet50-inference
t=  14.0s | network    | registry → nano_10   | unknown                   | docker_pull (95.4 MB)
t=  14.1s | network    | registry → rockpi_27 | unknown                   | docker_pull (59.1 MB)
t=  14.2s | network    | nuc_2 → rockpi_27    | unknown                   | data_download (45.8 MB)
t=  14.3s | network    | nuc_2 → nano_10      | unknown                   | data_download (98.2 MB)
t=  14.4s | network    | registry → rpi3_17   | unknown                   | docker_pull (19.1 MB)
t=  14.5s | network    | registry → nx_13     | unknown                   | docker_pull (59.1 MB)
t=  14.6s | network    | registry → nano_19   | unknown                   | docker_pull (95.4 MB)
t=  14.7s | network    | nuc_2 → nano_19      | unknown                   | data_download (98.2 MB)
t=  14.8s | network    | registry → nx_8      | unknown                   | docker_pull (95.4 MB)
t=  14.9s | network    | nuc_2 → nx_8         | unknown                   | data_download (98.2 MB)
t=  15.0s | replica    | nx_0                 | resnet50-inference        | setup replica of resnet50-inference
t=  15.0s | network    | registry → rpi3_9    | unknown                   | docker_pull (19.1 MB)
t=  15.1s | network    | registry → nx_10     | unknown                   | docker_pull (59.1 MB)
t=  15.2s | network    | registry → nano_11   | unknown                   | docker_pull (95.4 MB)
t=  15.3s | network    | nuc_2 → nano_11      | unknown                   | data_download (98.2 MB)
t=  15.4s | network    | registry → nano_6    | unknown                   | docker_pull (95.4 MB)
t=  15.5s | network    | nuc_2 → nano_6       | unknown                   | data_download (98.2 MB)
t=  15.6s | network    | registry → rpi3_10   | unknown                   | docker_pull (19.1 MB)
t=  15.7s | network    | registry → nx_14     | unknown                   | docker_pull (59.1 MB)
t=  15.8s | network    | registry → nano_18   | unknown                   | docker_pull (95.4 MB)
t=  15.9s | network    | nuc_2 → nano_18      | unknown                   | data_download (98.2 MB)
t=  16.0s | replica    | nano_15              | resnet50-training         | startup replica of resnet50-training
t=  16.0s | network    | registry → rockpi_32 | unknown                   | docker_pull (59.1 MB)
t=  16.1s | network    | registry → rockpi_0  | unknown                   | docker_pull (38.1 MB)
t=  16.2s | network    | registry → coral_4   | unknown                   | docker_pull (80.1 MB)
t=  16.3s | network    | nuc_2 → rockpi_0     | unknown                   | data_download (45.8 MB)
t=  16.4s | network    | registry → nuc_0     | unknown                   | docker_pull (190.7 MB)
t=  16.5s | network    | nuc_2 → coral_4      | unknown                   | data_download (98.2 MB)
t=  16.6s | network    | registry → rockpi_0  | unknown                   | docker_pull (182.2 MB)
t=  16.7s | network    | nuc_2 → nuc_0        | unknown                   | data_download (55.3 MB)
t=  16.8s | network    | nuc_2 → nuc_0        | unknown                   | data_download (55.3 MB)
t=  16.9s | network    | registry → rpi3_11   | unknown                   | docker_pull (19.1 MB)
t=  17.0s | replica    | nano_15              | resnet50-training         | setup replica of resnet50-training
t=  17.0s | network    | nuc_2 → nuc_0        | unknown                   | data_download (55.3 MB)
t=  17.1s | network    | registry → rpi3_33   | unknown                   | docker_pull (66.8 MB)
t=  17.2s | network    | registry → rockpi_36 | unknown                   | docker_pull (38.1 MB)
t=  17.3s | network    | registry → rockpi_36 | unknown                   | docker_pull (59.1 MB)
t=  17.4s | network    | nuc_2 → rockpi_36    | unknown                   | data_download (45.8 MB)
t=  17.5s | network    | nuc_2 → nuc_0        | unknown                   | data_download (55.3 MB)
t=  17.6s | network    | nuc_2 → rpi3_33      | unknown                   | data_download (98.2 MB)
t=  17.7s | network    | registry → rpi3_34   | unknown                   | docker_pull (66.8 MB)
t=  17.8s | network    | nuc_2 → rpi3_34      | unknown                   | data_download (98.2 MB)
t=  17.9s | network    | registry → nuc_1     | unknown                   | docker_pull (190.7 MB)
t=  18.0s | replica    | nano_15              | resnet50-training         | finish replica of resnet50-training
t=  18.0s | network    | nuc_2 → nuc_1        | unknown                   | data_download (55.3 MB)
t=  18.1s | network    | nuc_2 → nuc_1        | unknown                   | data_download (55.3 MB)
t=  18.2s | network    | registry → rpi3_33   | unknown                   | docker_pull (19.1 MB)
t=  18.3s | network    | nx_12 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  18.4s | network    | registry → rockpi_22 | unknown                   | docker_pull (59.1 MB)
t=  18.5s | network    | nuc_2 → nuc_1        | unknown                   | data_download (55.3 MB)
t=  18.6s | network    | registry → rpi3_35   | unknown                   | docker_pull (66.8 MB)
t=  18.7s | network    | nuc_2 → nuc_1        | unknown                   | data_download (55.3 MB)
t=  18.8s | network    | nuc_2 → nx_12        | unknown                   | data_download (55.3 MB)
t=  18.9s | network    | nx_12 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  19.0s | replica    | rockpi_30            | speech-inference          | finish replica of speech-inference
t=  19.0s | network    | nuc_2 → rpi3_35      | unknown                   | data_download (98.2 MB)
t=  19.1s | network    | nx_12 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  19.2s | network    | nuc_2 → nx_12        | unknown                   | data_download (55.3 MB)
t=  19.3s | network    | nx_12 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  19.4s | network    | registry → rpi3_34   | unknown                   | docker_pull (19.1 MB)
t=  19.5s | network    | registry → rpi3_18   | unknown                   | docker_pull (66.8 MB)
t=  19.6s | network    | nuc_2 → nx_12        | unknown                   | data_download (55.3 MB)
t=  19.7s | network    | nuc_2 → nx_12        | unknown                   | data_download (55.3 MB)
t=  19.8s | network    | nuc_2 → rpi3_18      | unknown                   | data_download (98.2 MB)
t=  19.9s | network    | registry → nuc_2     | unknown                   | docker_pull (190.7 MB)
t=  20.0s | replica    | nx_0                 | resnet50-inference        | finish replica of resnet50-inference
t=  20.0s | network    | registry → rpi3_35   | unknown                   | docker_pull (19.1 MB)
t=  20.1s | network    | registry → rockpi_8  | unknown                   | docker_pull (59.1 MB)
t=  20.2s | network    | registry → rpi3_19   | unknown                   | docker_pull (66.8 MB)
t=  20.3s | network    | nx_10 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  20.4s | network    | registry → nuc_3     | unknown                   | docker_pull (190.7 MB)
t=  20.5s | network    | nx_10 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  20.6s | network    | nuc_2 → nx_10        | unknown                   | data_download (55.3 MB)
t=  20.7s | network    | nx_10 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  20.8s | network    | nuc_2 → nuc_3        | unknown                   | data_download (55.3 MB)
t=  20.9s | network    | nx_10 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  21.0s | replica    | rockpi_30            | resnet50-preprocessing    | startup replica of resnet50-preprocessing
t=  21.0s | network    | registry → rpi3_18   | unknown                   | docker_pull (19.1 MB)
t=  21.1s | network    | registry → rpi3_20   | unknown                   | docker_pull (66.8 MB)
t=  21.2s | network    | nuc_2 → rpi3_19      | unknown                   | data_download (98.2 MB)
t=  21.3s | network    | registry → nuc_4     | unknown                   | docker_pull (190.7 MB)
t=  21.4s | network    | nuc_2 → nx_10        | unknown                   | data_download (55.3 MB)
t=  21.5s | network    | nuc_2 → nuc_3        | unknown                   | data_download (55.3 MB)
t=  21.6s | network    | nuc_2 → nuc_3        | unknown                   | data_download (55.3 MB)
t=  21.7s | network    | nuc_2 → nx_10        | unknown                   | data_download (55.3 MB)
t=  21.8s | network    | nuc_2 → nx_10        | unknown                   | data_download (55.3 MB)
t=  21.9s | network    | registry → rpi3_19   | unknown                   | docker_pull (19.1 MB)
t=  22.0s | replica    | rockpi_30            | resnet50-preprocessing    | setup replica of resnet50-preprocessing
t=  22.0s | network    | nuc_2 → nuc_3        | unknown                   | data_download (55.3 MB)
t=  22.1s | network    | registry → rockpi_13 | unknown                   | docker_pull (59.1 MB)
t=  22.2s | network    | registry → rpi3_24   | unknown                   | docker_pull (66.8 MB)
t=  22.3s | network    | registry → rockpi_15 | unknown                   | docker_pull (38.1 MB)
t=  22.4s | network    | registry → nuc_5     | unknown                   | docker_pull (190.7 MB)
t=  22.5s | network    | registry → rockpi_15 | unknown                   | docker_pull (182.2 MB)
t=  22.6s | network    | nx_13 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  22.7s | network    | nx_13 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  22.8s | network    | nx_13 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  22.9s | network    | nuc_2 → nuc_4        | unknown                   | data_download (55.3 MB)
t=  23.0s | replica    | rockpi_30            | resnet50-preprocessing    | finish replica of resnet50-preprocessing
t=  23.0s | network    | nx_13 → nuc_2        | unknown                   | data_upload (98.2 MB)
t=  23.1s | network    | nuc_2 → rpi3_20      | unknown                   | data_download (98.2 MB)
t=  23.2s | network    | registry → rpi3_20   | unknown                   | docker_pull (19.1 MB)
t=  23.3s | network    | registry → rockpi_13 | unknown                   | docker_pull (38.1 MB)
t=  23.4s | network    | registry → rockpi_1  | unknown                   | docker_pull (59.1 MB)
t=  23.5s | network    | registry → rpi3_25   | unknown                   | docker_pull (66.8 MB)
t=  23.6s | network    | nuc_2 → nuc_4        | unknown                   | data_download (55.3 MB)
t=  23.7s | network    | nuc_2 → rockpi_15    | unknown                   | data_download (45.8 MB)
t=  23.8s | network    | nuc_2 → nuc_4        | unknown                   | data_download (55.3 MB)
t=  23.9s | network    | nuc_2 → nuc_5        | unknown                   | data_download (55.3 MB)
t=  24.0s | replica    | rockpi_25            | python-pi                 | deploy replica of python-pi
t=  24.0s | network    | nuc_2 → nuc_4        | unknown                   | data_download (55.3 MB)
t=  24.1s | network    | registry → rpi3_24   | unknown                   | docker_pull (19.1 MB)
t=  24.2s | network    | nuc_2 → nx_13        | unknown                   | data_download (55.3 MB)
t=  24.3s | network    | registry → rockpi_15 | unknown                   | docker_pull (59.1 MB)
t=  24.4s | network    | nx_4 → nuc_2         | unknown                   | data_upload (98.2 MB)
t=  24.5s | network    | registry → rpi3_26   | unknown                   | docker_pull (66.8 MB)
t=  24.6s | network    | nuc_2 → nx_13        | unknown                   | data_download (55.3 MB)
t=  24.7s | network    | nuc_2 → nx_13        | unknown                   | data_download (55.3 MB)
t=  24.8s | network    | nuc_2 → nx_13        | unknown                   | data_download (55.3 MB)
t=  24.9s | network    | nuc_2 → nuc_5        | unknown                   | data_download (55.3 MB)
t=  25.0s | replica    | rockpi_25            | python-pi                 | startup replica of python-pi
t=  25.0s | network    | nuc_2 → rockpi_13    | unknown                   | data_download (45.8 MB)
t=  25.1s | network    | nuc_2 → nuc_5        | unknown                   | data_download (55.3 MB)
t=  25.2s | network    | nuc_2 → rpi3_24      | unknown                   | data_download (98.2 MB)
t=  25.3s | network    | nx_4 → nuc_2         | unknown                   | data_upload (98.2 MB)
t=  25.4s | network    | nx_4 → nuc_2         | unknown                   | data_upload (98.2 MB)
t=  25.5s | network    | nx_4 → nuc_2         | unknown                   | data_upload (98.2 MB)
t=  25.6s | network    | nuc_2 → nuc_5        | unknown                   | data_download (55.3 MB)
t=  25.7s | network    | nuc_2 → nx_4         | unknown                   | data_download (55.3 MB)
t=  25.8s | network    | nuc_2 → rpi3_25      | unknown                   | data_download (98.2 MB)
t=  25.9s | network    | nuc_2 → nuc_0        | unknown                   | data_download (55.3 MB)
t=  26.0s | replica    | rockpi_25            | python-pi                 | setup replica of python-pi
t=  26.0s | network    | registry → rpi3_25   | unknown                   | docker_pull (19.1 MB)
t=  26.1s | network    | nuc_2 → nx_4         | unknown                   | data_download (55.3 MB)
t=  26.2s | network    | nuc_2 → nx_4         | unknown                   | data_download (55.3 MB)
t=  26.3s | network    | nuc_2 → nx_4         | unknown                   | data_download (55.3 MB)
t=  26.4s | network    | registry → rpi3_30   | unknown                   | docker_pull (66.8 MB)
t=  26.5s | network    | nuc_2 → nuc_0        | unknown                   | data_download (55.3 MB)
t=  26.6s | network    | nuc_2 → rpi3_26      | unknown                   | data_download (98.2 MB)
t=  26.7s | network    | nuc_2 → nuc_0        | unknown                   | data_download (55.3 MB)
t=  26.8s | network    | nuc_2 → rpi3_30      | unknown                   | data_download (98.2 MB)
t=  26.9s | network    | nuc_2 → nuc_0        | unknown                   | data_download (55.3 MB)
t=  27.0s | replica    | rockpi_25            | python-pi                 | finish replica of python-pi
t=  27.0s | network    | registry → rpi3_26   | unknown                   | docker_pull (19.1 MB)
t=  27.1s | network    | registry → rpi3_31   | unknown                   | docker_pull (66.8 MB)
t=  27.2s | network    | nuc_2 → rpi3_31      | unknown                   | data_download (98.2 MB)
t=  27.3s | network    | registry → rpi3_30   | unknown                   | docker_pull (19.1 MB)
t=  27.4s | network    | registry → rockpi_2  | unknown                   | docker_pull (59.1 MB)
t=  27.5s | network    | registry → rpi3_32   | unknown                   | docker_pull (66.8 MB)
t=  27.6s | network    | nuc_2 → rpi3_32      | unknown                   | data_download (98.2 MB)
t=  27.7s | network    | registry → rpi3_31   | unknown                   | docker_pull (19.1 MB)
t=  27.8s | network    | registry → rpi3_6    | unknown                   | docker_pull (66.8 MB)
t=  27.9s | network    | nuc_2 → rpi3_6       | unknown                   | data_download (98.2 MB)
t=  28.0s | replica    | rpi3_21              | fio                       | deploy replica of fio
t=  28.0s | network    | registry → rpi3_32   | unknown                   | docker_pull (19.1 MB)
t=  28.1s | network    | registry → rockpi_2  | unknown                   | docker_pull (38.1 MB)
t=  28.2s | network    | registry → rpi3_7    | unknown                   | docker_pull (66.8 MB)
t=  28.3s | network    | nuc_2 → rockpi_2     | unknown                   | data_download (45.8 MB)
t=  28.4s | network    | registry → rockpi_12 | unknown                   | docker_pull (59.1 MB)
t=  28.5s | network    | nuc_2 → nuc_1        | unknown                   | data_download (55.3 MB)
t=  28.6s | network    | nuc_2 → rpi3_7       | unknown                   | data_download (98.2 MB)
t=  28.7s | network    | registry → rockpi_12 | unknown                   | docker_pull (182.2 MB)
t=  28.8s | network    | nuc_2 → nuc_1        | unknown                   | data_download (55.3 MB)
t=  28.9s | network    | registry → rpi3_6    | unknown                   | docker_pull (19.1 MB)
t=  29.0s | replica    | rpi3_21              | fio                       | startup replica of fio
t=  29.0s | network    | registry → rockpi_12 | unknown                   | docker_pull (38.1 MB)
t=  29.1s | network    | registry → rockpi_3  | unknown                   | docker_pull (59.1 MB)
t=  29.2s | network    | registry → rpi3_8    | unknown                   | docker_pull (66.8 MB)
t=  29.3s | network    | nuc_2 → nuc_1        | unknown                   | data_download (55.3 MB)
t=  29.4s | network    | nuc_2 → rockpi_12    | unknown                   | data_download (45.8 MB)
t=  29.5s | network    | nuc_2 → rpi3_8       | unknown                   | data_download (98.2 MB)
t=  29.6s | network    | nuc_2 → nuc_1        | unknown                   | data_download (55.3 MB)
t=  29.7s | network    | registry → rpi3_7    | unknown                   | docker_pull (19.1 MB)
t=  29.8s | network    | registry → rpi3_12   | unknown                   | docker_pull (66.8 MB)
t=  29.9s | network    | nuc_2 → rpi3_12      | unknown                   | data_download (98.2 MB)
t=  30.0s | replica    | rpi3_21              | fio                       | setup replica of fio
t=  30.0s | network    | registry → rpi3_8    | unknown                   | docker_pull (19.1 MB)
t=  30.1s | network    | registry → rpi3_13   | unknown                   | docker_pull (66.8 MB)
t=  30.2s | network    | nuc_2 → rpi3_13      | unknown                   | data_download (98.2 MB)
t=  30.3s | network    | nuc_2 → nuc_3        | unknown                   | data_download (55.3 MB)
t=  30.4s | network    | nuc_2 → nuc_3        | unknown                   | data_download (55.3 MB)
t=  30.5s | network    | registry → rpi3_12   | unknown                   | docker_pull (19.1 MB)
t=  30.6s | network    | registry → nx_5      | unknown                   | docker_pull (59.1 MB)
t=  30.7s | network    | registry → rpi3_14   | unknown                   | docker_pull (66.8 MB)
t=  30.8s | network    | nx_3 → nuc_2         | unknown                   | data_upload (98.2 MB)
t=  30.9s | network    | nuc_2 → nuc_3        | unknown                   | data_download (55.3 MB)
t=  31.0s | replica    | rpi3_21              | fio                       | finish replica of fio
t=  31.0s | network    | nuc_2 → nuc_4        | unknown                   | data_download (55.3 MB)
t=  31.1s | network    | registry → rpi3_13   | unknown                   | docker_pull (19.1 MB)
